"CHN201804100",8,"$Pirates challenged call that Contreras was safe at 3rd; call was overturned - out at third"FILENAME_TX","LINE_NUMBER_CT"
"CHN201808230",50,"Mound Visit"2018CHN.EVN.regular.comment.csv",218

"CHN201808230",56,"On-field Delay"2018CHN.EVN.regular.comment.csv",219

"CHN201808230",58,"Mound Visit"2018CHN.EVN.regular.comment.csv",220

"CHN201808230",63,"Mound Visit"2018CHN.EVN.regular.comment.csv",221

"CHN201808230",72,"$Red Challenged call that Peraza was out at first; call was overturned - single"2018CHN.EVN.regular.comment.csv",222

"CHN201808230",73,"Mound Visit"2018CHN.EVN.regular.comment.csv",223

"CHN201808240",8,"On-field Delay $Umpire review of ball hit by Williams; call was overturned - double, not home run"2018CHN.EVN.regular.comment.csv",224

"CHN201808240",37,"$Originally scored as two-base E7, changed to double on 08-28-2018"2018CHN.EVN.regular.comment.csv",225

"CHN201808240",38,"Mound Visit"2018CHN.EVN.regular.comment.csv",226

"CHN201808240",42,"Mound Visit"2018CHN.EVN.regular.comment.csv",227

"CHN201808240",44,"Mound Visit"2018CHN.EVN.regular.comment.csv",228

"CHN201808240",45,"$Reds challenged call that Rizzo was safe at first; call was overturned - double play"2018CHN.EVN.regular.comment.csv",229

"CHN201808240",53,"Mound Visit"2018CHN.EVN.regular.comment.csv",230

"CHN201808240",55,"Mound Visit"2018CHN.EVN.regular.comment.csv",231

"CHN201808240",65,"Mound Visit"2018CHN.EVN.regular.comment.csv",232

"CHN201808250",15,"Injury Delay"2018CHN.EVN.regular.comment.csv",233

"CHN201808250",29,"Mound Visit"2018CHN.EVN.regular.comment.csv",234

"CHN201808250",37,"Mound Visit"2018CHN.EVN.regular.comment.csv",235

"CHN201808250",46,"Mound Visit"2018CHN.EVN.regular.comment.csv",236

"CHN201808250",49,"Mound Visit"2018CHN.EVN.regular.comment.csv",237

"CHN201808250",56,"Mound Visit"2018CHN.EVN.regular.comment.csv",238

"CHN201808250",68,"Mound Visit"2018CHN.EVN.regular.comment.csv",239

"CHN201808250",77,"Mound Visit"2018CHN.EVN.regular.comment.csv",240

"CHN201808260",5,"$Reds challenged call that Murphy was safe at 2nd; call was upheld - safe on throwing error"2018CHN.EVN.regular.comment.csv",241

"CHN201808260",9,"Mound Visit"2018CHN.EVN.regular.comment.csv",242

"CHN201808260",58,"Mound Visit"2018CHN.EVN.regular.comment.csv",243

"CHN201808270",11,"Mound Visit"2018CHN.EVN.regular.comment.csv",244

"CHN201808270",17,"Mound Visit"2018CHN.EVN.regular.comment.csv",245

"CHN201808270",20,"Mound Visit"2018CHN.EVN.regular.comment.csv",246

"CHN201808270",33,"Mound Visit"2018CHN.EVN.regular.comment.csv",247

"CHN201808270",65,"Mound Visit $Cubs challenged call that Rizzo's fly was foul; call was overturned - double"2018CHN.EVN.regular.comment.csv",248

"CHN201808270",67,"Mound Visit"2018CHN.EVN.regular.comment.csv",249

"CHN201808270",79,"Mound Visit"2018CHN.EVN.regular.comment.csv",250

"CHN201808270",81,"Mound Visit"2018CHN.EVN.regular.comment.csv",251

"CHN201808270",82,"Mound Visit"2018CHN.EVN.regular.comment.csv",252

"CHN201808270",83,"Mound Visit"2018CHN.EVN.regular.comment.csv",253

"CHN201808280",0,"Suspend=20180829,,1,1,54"2018CHN.EVN.regular.comment.csv",254

"CHN201808280",19,"$Cubs challenged call that Rosario was safe at 3rd on double steal; call was overturned - out on caught stealing"2018CHN.EVN.regular.comment.csv",255

"CHN201808280",30,"Injury Delay"2018CHN.EVN.regular.comment.csv",256

