"TEX201403310",68,"originally scored as DI, changed to SB on 4-08-2014"FILENAME_TX","LINE_NUMBER_CT"
"TEX201409060",11,"replay,2,morrl001,SEA,vanol901,ARL02,,Y,M,SEA,C $when Logan Morrison was called out at 1B, Mariners manager Lloyd McClendon challenged the ruling; the call was overturned by replay"2014TEX.EVA.regular.comment.csv",58

"TEX201409060",60,"Mariners left fielder Dustin Ackley left the game due to an injured ankle"2014TEX.EVA.regular.comment.csv",59

"TEX201409060",69,"replay,8,morrl001,SEA,vanol901,ARL02,,N,M,TEX,B $when Kyle Seager scored, Rangers manager Tim Bogar challenged whether Seager touched 3B; the call was upheld by replay"2014TEX.EVA.regular.comment.csv",60

"TEX201409090",56,"replay,8,calhk001,ANA,joycj901,ARL02,,N,M,TEX,A $when Collin Cowgill was called safe at 2B, Rangers manager Tim Bogar challenged the ruling; the call Was upheld by replay"2014TEX.EVA.regular.comment.csv",61

"TEX201409100",6,"replay,1,aybae001,ANA,joycj901,ARL02,,N,U,,P $when Howie Kendricks was called out at HP, crew chief Jim Joyce requested a review; the call was upheld by replay saying the catcher did not block HP without the ball and the runner was out"2014TEX.EVA.regular.comment.csv",62

"TEX201409100",44,"replay,5,sardl001,TEX,joycj901,ARL02,,Y,M,ANA,C $when Luis Sardinas was called safe at 1B, Angels manager Mike Scioscia challenged the ruling; the call was overturned by replay"2014TEX.EVA.regular.comment.csv",63

"TEX201409140",19,"replay,2,andre001,TEX,millb901,ARL02,,N,M,TOR,A $when Leonys Martin was called out at 1B on a pickoff attempt, Rangers manager Tim Bogar challenged the ruling; the call was upheld by replay"2014TEX.EVA.regular.comment.csv",64

"TEX201409140",35,"replay,4,choim001,TEX,millb901,ARL02,,Y,M,ATL,A $when Luis Sardinas was called safe at 3B, Braves manager Fredi Gonzalez challenged the ruling; the call was overturned by replay"2014TEX.EVA.regular.comment.csv",65

"TEX201409230",54,"replay,7,presa001,HOU,barrt901,ARL02,,Y,M,TEX,C $when Alex Presley was called safe at 1B, Rangers manager Tim Bogar challenged the ruling; the call was overturned by replay"2014TEX.EVA.regular.comment.csv",66

"TEX201409240",4,"replay,1,cartc002,HOU,barrt901,ARL02,,Y,M,TEX,A $when Robbie Grossman was called safe at 3B, Rangers manager Tim Bogar challenged the ruling; the call was overturned by replay"2014TEX.EVA.regular.comment.csv",67

"TEX201409270",24,"replay,3,odorr001,TEX,emmep901,ARL02,,Y,M,OAK,A $when Elvis Andrus was called safe at 2B, Athletics manager Bob Melvin challenged the ruling; the call was overturned by replay"2014TEX.EVA.regular.comment.csv",68

"TEX201409270",63,"replay,8,reddj001,OAK,emmep901,ARL02,,N,M,TEX,A $when Jonny Gomes was called safe at HP, Rangers manager Tim Bogar challenged the ruling; the call was upheld by replay"2014TEX.EVA.regular.comment.csv",69

