"WAS201809081",50,"Mound Visit","2018WAS.EVN.regular.comment.csv",272
"WAS201809081",79,"Mound Visit","2018WAS.EVN.regular.comment.csv",273
"WAS201809082",28,"Mound Visit","2018WAS.EVN.regular.comment.csv",274
"WAS201809082",47,"Mound Visit","2018WAS.EVN.regular.comment.csv",275
"WAS201809082",49,"Mound Visit","2018WAS.EVN.regular.comment.csv",276
"WAS201809082",50,"Mound Visit Mound Visit","2018WAS.EVN.regular.comment.csv",277
"WAS201809082",53,"Mound Visit","2018WAS.EVN.regular.comment.csv",278
"WAS201809082",61,"Mound Visit","2018WAS.EVN.regular.comment.csv",279
"WAS201809082",66,"Mound Visit","2018WAS.EVN.regular.comment.csv",280
"WAS201809130",38,"Mound Visit Mound Visit","2018WAS.EVN.regular.comment.csv",281
"WAS201809130",43,"Mound Visit","2018WAS.EVN.regular.comment.csv",282
"WAS201809130",49,"Mound Visit","2018WAS.EVN.regular.comment.csv",283
"WAS201809130",57,"Mound Visit","2018WAS.EVN.regular.comment.csv",284
"WAS201809130",59,"Mound Visit","2018WAS.EVN.regular.comment.csv",285
"WAS201809130",64,"Mound Visit","2018WAS.EVN.regular.comment.csv",286
"WAS201809130",66,"Mound Visit","2018WAS.EVN.regular.comment.csv",287
"WAS201809130",67,"Mound Visit","2018WAS.EVN.regular.comment.csv",288
"WAS201809130",69,"Mound Visit","2018WAS.EVN.regular.comment.csv",289
"WAS201809130",81,"Mound Visit","2018WAS.EVN.regular.comment.csv",290
"WAS201809130",82,"Mound Visit","2018WAS.EVN.regular.comment.csv",291
"WAS201809130",83,"Mound Visit","2018WAS.EVN.regular.comment.csv",292
"WAS201809130",84,"Mound Visit","2018WAS.EVN.regular.comment.csv",293
"WAS201809130",85,"$Cubs challenged call that Strop was out at 1st to complete double play; call was upheld - double play","2018WAS.EVN.regular.comment.csv",294
"WAS201809130",87,"Mound Visit","2018WAS.EVN.regular.comment.csv",295
"WAS201809200",2,"On-field Delay","2018WAS.EVN.regular.comment.csv",296
"WAS201809200",48,"Mound Visit","2018WAS.EVN.regular.comment.csv",297
"WAS201809200",54,"Mound Visit","2018WAS.EVN.regular.comment.csv",298
"WAS201809200",59,"Mound Visit","2018WAS.EVN.regular.comment.csv",299
"WAS201809200",63,"Mound Visit","2018WAS.EVN.regular.comment.csv",300
"WAS201809200",63,"Mound Visit","2018WAS.EVN.regular.comment.csv",301
"WAS201809200",64,"Mound Visit","2018WAS.EVN.regular.comment.csv",302
"WAS201809200",65,"Mound Visit","2018WAS.EVN.regular.comment.csv",303
"WAS201809200",70,"Mound Visit","2018WAS.EVN.regular.comment.csv",304
