"ATL201409030",43,"replay,5,freef001,ATL,mealj901,ATL02,,Y,M,ATL,A $when Freddie Freeman was called out at 2B, Braves manager Fredi Gonzalez challenged the ruling; the call was overturned by replay","2014ATL.EVN.regular.comment.csv",63
"ATL201409030",59,"Phillies pitcher Mario Hollands left the game due to an injured elbow","2014ATL.EVN.regular.comment.csv",64
"ATL201409150",25,"Bryce Harper left due to light-headedness","2014ATL.EVN.regular.comment.csv",65
"ATL201409150",46,"ej,freef001,P,timmt901,Called third strike (Threw bat) ej,gonzf801,M,timmt901,Balls and strikes (Kicked bat) $Freddie Freeman threw his bat to the ground, breaking it, and was ejected by HP umpire Tim Timmons; Braves manager Fredi Gonzalez kicked the bat while arguing and was ejected by Timmons","2014ATL.EVN.regular.comment.csv",66
"ATL201409160",55,"replay,8,wertj001,WAS,welkt901,ATL02,,Y,M,ATL,A $when Anthony Rendon was called safe at 2B, Braves manager Fredi Gonzalez challenged the ruling; the call was overturned by replay","2014ATL.EVN.regular.comment.csv",67
"ATL201409170",47,"originally ruled E6 for the advance, changed to E2 on 09-22-2014","2014ATL.EVN.regular.comment.csv",68
"ATL201409200",10,"Braves pitcher Mike Minor left the game due to an injured shoulder","2014ATL.EVN.regular.comment.csv",69
"ATL201409200",47,"Mets second baseman Dilson Herrera left the game due to an injured leg","2014ATL.EVN.regular.comment.csv",70
"ATL201409240",39,"Pirates catcher Russell Martin left the game due to an injured leg","2014ATL.EVN.regular.comment.csv",71
"ATL201409240",56,"Braves third baseman Chris Johnson left the game due to an injured back","2014ATL.EVN.regular.comment.csv",72
"ATL201409240",62,"replay,6,gossp001,ATL,laynj901,ATL02,,Y,M,PHI,C $when Phil Gosselin was called safe at 1B, Pirates manager Clint Hurdle challenged the ruling; the call was overturned by replay","2014ATL.EVN.regular.comment.csv",73
