"BRO192504140",7,"Over Burns","FILENAME_TX","LINE_NUMBER_CT"
"BRO192505240",18,"Dickerman fell down","1925BRO.EVN.regular.comment.csv",201
"BRO192505240",20,"Texas Leaguer","1925BRO.EVN.regular.comment.csv",202
"BRO192505240",33,"Past Stock","1925BRO.EVN.regular.comment.csv",203
"BRO192505240",34,"DP grounder","1925BRO.EVN.regular.comment.csv",204
"BRO192505240",50,"----------Game Called...Rain---------- play,6,0,belll101,??,,S8 play,6,0,sherb101,??,,D9/F9DW.1-H play,6,0,bladr102,20,,MP $With 2 balls to Blades rain came and the game was called reverting back to the 5th inning.","1925BRO.EVN.regular.comment.csv",205
"BRO192505310",28,"Wilson climbed the concrete wall attempting to catch it","1925BRO.EVN.regular.comment.csv",206
"BRO192505310",46,"Meusel overran 2B and was trapped","1925BRO.EVN.regular.comment.csv",207
"BRO192505310",63,"Over RF wall","1925BRO.EVN.regular.comment.csv",208
"BRO192505310",65,"Great running catch","1925BRO.EVN.regular.comment.csv",209
"BRO192506010",2,"Running catch","1925BRO.EVN.regular.comment.csv",210
"BRO192506010",23,"Into LF bleachers","1925BRO.EVN.regular.comment.csv",211
"BRO192506010",33,"High toss to Stock at 1B","1925BRO.EVN.regular.comment.csv",212
"BRO192506010",37,"Over garden wall in RF","1925BRO.EVN.regular.comment.csv",213
"BRO192506010",58,"Into LF bleachers","1925BRO.EVN.regular.comment.csv",214
"BRO192506020",7,"Over RF fence","1925BRO.EVN.regular.comment.csv",215
"BRO192506020",10,"Marvelous 1-handed pickup of mean bouncer","1925BRO.EVN.regular.comment.csv",216
"BRO192506020",27,"High throw","1925BRO.EVN.regular.comment.csv",217
"BRO192506020",32,"Nice catch of high throw","1925BRO.EVN.regular.comment.csv",218
"BRO192506020",44,"Cox fumbled","1925BRO.EVN.regular.comment.csv",219
"BRO192506020",48,"Threw into the Robins' dugout","1925BRO.EVN.regular.comment.csv",220
"BRO192506020",52,"Through Terry's legs but Youngs recovered","1925BRO.EVN.regular.comment.csv",221
"BRO192506020",63,"Past Hubbell","1925BRO.EVN.regular.comment.csv",222
"BRO192506020",74,"Infield hit","1925BRO.EVN.regular.comment.csv",223
"BRO192506020",80,"Southworth fumbled","1925BRO.EVN.regular.comment.csv",224
"BRO192506270",34,"Nice catch","1925BRO.EVN.regular.comment.csv",225
"BRO192506270",46,"Erratic grounder through Ford","1925BRO.EVN.regular.comment.csv",226
"BRO192506270",49,"PDL: BOUNCE HR; long drive bounded over the low LCF fence NYT: Into LF circus seats","1925BRO.EVN.regular.comment.csv",227
"BRO192506270",57,"'Tremendously wild heave' past 1B","1925BRO.EVN.regular.comment.csv",228
"BRO192506270",64,"Bad hop over Ford","1925BRO.EVN.regular.comment.csv",229
"BRO192506270",66,"To CF exit gate","1925BRO.EVN.regular.comment.csv",230
"BRO192507010",1,"Bancroft hit a foul off his right instep and took time out. He then limped back to the plate and hit a double.","1925BRO.EVN.regular.comment.csv",231
"BRO192507010",8,"Over Marriott","1925BRO.EVN.regular.comment.csv",232
"BRO192507010",29,"Running 1-handed catch","1925BRO.EVN.regular.comment.csv",233
"BRO192507010",30,"Into LF bleachers","1925BRO.EVN.regular.comment.csv",234
"BRO192507010",31,"Over Ford","1925BRO.EVN.regular.comment.csv",235
"BRO192507010",58,"Running catch","1925BRO.EVN.regular.comment.csv",236
"BRO192507010",71,"Into LF bleachers","1925BRO.EVN.regular.comment.csv",237
"BRO192507010",75,"Benton tried to score when Cox fumbled","1925BRO.EVN.regular.comment.csv",238
"BRO192507020",7,"Low throw","1925BRO.EVN.regular.comment.csv",239
"BRO192507020",66,"Over RF fence","1925BRO.EVN.regular.comment.csv",240
"BRO192507020",69,"Edwards' ML debut","1925BRO.EVN.regular.comment.csv",241
"BRO192507020",95,"Brown fumbled","1925BRO.EVN.regular.comment.csv",242
"BRO192507030",2,"Through Fournier","1925BRO.EVN.regular.comment.csv",243
"BRO192507030",12,"Knocked down the grounder","1925BRO.EVN.regular.comment.csv",244
"BRO192507030",18,"Youngs muffed it after colliding with Southworth","1925BRO.EVN.regular.comment.csv",245
"BRO192507030",19,"Jackson 'ran a mile'","1925BRO.EVN.regular.comment.csv",246
"BRO192507030",20,"Over Youngs","1925BRO.EVN.regular.comment.csv",247
"BRO192507030",20,"Southworth had entered the game riding a charley horse","1925BRO.EVN.regular.comment.csv",248
"BRO192507030",28,"High bounder","1925BRO.EVN.regular.comment.csv",249
"BRO192507030",43,"Infield fly rule; when it dropped safely in front of Kelly, Osborne tried to score.","1925BRO.EVN.regular.comment.csv",250
"BRO192507030",53,"NYEW coverage ended here","1925BRO.EVN.regular.comment.csv",251
"BRO192507030",60,"Past Wilson","1925BRO.EVN.regular.comment.csv",252
"BRO192507030",66,"Running catch 'clear into no-man's land'","1925BRO.EVN.regular.comment.csv",253
"BRO192507030",68,"Past Jackson","1925BRO.EVN.regular.comment.csv",254
"BRO192507041",38,"Infield hit","1925BRO.EVN.regular.comment.csv",255
"BRO192507041",51,"One of the longest/hardest ever made here","1925BRO.EVN.regular.comment.csv",256
"BRO192507042",46,"Into LF bleachers","1925BRO.EVN.regular.comment.csv",257
"BRO192507051",17,"Over RF wall","1925BRO.EVN.regular.comment.csv",258
"BRO192507051",22,"Bancroft got a glove on it","1925BRO.EVN.regular.comment.csv",259
"BRO192507051",41,"Great shoestring catch","1925BRO.EVN.regular.comment.csv",260
"BRO192507051",63,"Burrus failed twice to SH","1925BRO.EVN.regular.comment.csv",261
"BRO192507051",67,"Brilliant stop; wild throw past 3B","1925BRO.EVN.regular.comment.csv",262
"BRO192507052",45,"Off Marriott's chest","1925BRO.EVN.regular.comment.csv",263
"BRO192507052",47,"Off Benton's glove","1925BRO.EVN.regular.comment.csv",264
"BRO192507052",57,"Grounder off Stock's chest; hurried throw was wild","1925BRO.EVN.regular.comment.csv",265
"BRO192507052",59,"Great catch","1925BRO.EVN.regular.comment.csv",266
"BRO192507052",61,"ej,grimb101,P,mclap901,Balls and strikes (Pushed umpire) Burleigh Grimes ejected by HP umpire Peter McLaughlin","1925BRO.EVN.regular.comment.csv",267
"BRO192507052",74,"All 3 sparkling outfield catches in 9th saved HRs","1925BRO.EVN.regular.comment.csv",268
"BRO192507060",5,"First ML start for Vargus","1925BRO.EVN.regular.comment.csv",269
"BRO192507060",26,"Wild throw past Burrus trying for DP","1925BRO.EVN.regular.comment.csv",270
"BRO192507060",33,"Gibson tried to score when Brown's throw got away from DeBerry who made a quick recovery and tossed to Ehrhardt.","1925BRO.EVN.regular.comment.csv",271
"BRO192507060",51,"Bad bound past Brown","1925BRO.EVN.regular.comment.csv",272
"BRO192507060",59,"Off Padgett's shins","1925BRO.EVN.regular.comment.csv",273
"BRO192507060",62,"Liner struck the bag","1925BRO.EVN.regular.comment.csv",274
"BRO192507060",90,"Into LF bleachers","1925BRO.EVN.regular.comment.csv",275
"BRO192507070",0,"Maranville's first game as Cubs Mgr; replaced Killefer","1925BRO.EVN.regular.comment.csv",276
"BRO192507070",22,"NYTEM coverage ended here","1925BRO.EVN.regular.comment.csv",277
"BRO192507070",26,"Past Fournier","1925BRO.EVN.regular.comment.csv",278
"BRO192507070",29,"Attempted double steal.  One umpire called safe, the other out.  Cubs raised a mighty roar on the final decision.","1925BRO.EVN.regular.comment.csv",279
"BRO192507070",35,"Swell play","1925BRO.EVN.regular.comment.csv",280
"BRO192507070",40,"Ball struck squarely atop RF wall and back onto the field","1925BRO.EVN.regular.comment.csv",281
"BRO192507070",43,"Hit in the ribs","1925BRO.EVN.regular.comment.csv",282
