"SDN201903280",41,"$Giants challenged call that Longoria was out at second; call was upheld - single and out stretching"FILENAME_TX","LINE_NUMBER_CT"
"SDN201907140",43,"$Padres challenged call that Acuna was safe at 2nd; call was upheld - safe on pickoff attempt"2019SDN.EVN.regular.comment.csv",319

"SDN201907140",64,"Mound Visit"2019SDN.EVN.regular.comment.csv",320

"SDN201907140",67,"Mound Visit"2019SDN.EVN.regular.comment.csv",321

"SDN201907140",68,"Mound Visit"2019SDN.EVN.regular.comment.csv",322

"SDN201907140",73,"Mound Visit"2019SDN.EVN.regular.comment.csv",323

"SDN201907260",35,"Mound Visit"2019SDN.EVN.regular.comment.csv",324

"SDN201907260",41,"$Padres challenged call that Tatis was out at 1st; call was overturned - force out, no double play"2019SDN.EVN.regular.comment.csv",325

"SDN201907260",45,"Mound Visit"2019SDN.EVN.regular.comment.csv",326

"SDN201907260",69,"Mound Visit"2019SDN.EVN.regular.comment.csv",327

"SDN201907260",83,"Mound Visit"2019SDN.EVN.regular.comment.csv",328

"SDN201907260",87,"$Padres challenged call that Hosmer was out at 1st; call was upheld - double play to end game"2019SDN.EVN.regular.comment.csv",329

"SDN201907270",9,"$Padres challenged call that Bogt was safe at 2nd; call was overturned - force out"2019SDN.EVN.regular.comment.csv",330

"SDN201907270",25,"Mound Visit Mound Visit"2019SDN.EVN.regular.comment.csv",331

"SDN201907270",26,"$Giants challenged call that Yastrzemski was out at 3rd; call was overturned - safe advancing on fly ball"2019SDN.EVN.regular.comment.csv",332

"SDN201907270",33,"Mound Visit"2019SDN.EVN.regular.comment.csv",333

"SDN201907270",47,"Mound Visit"2019SDN.EVN.regular.comment.csv",334

"SDN201907270",50,"Mound Visit"2019SDN.EVN.regular.comment.csv",335

"SDN201907270",55,"$Giants challenged call that Garcia was safe at 2nd; call was overturned - caught stealing"2019SDN.EVN.regular.comment.csv",336

"SDN201907270",64,"Mound Visit"2019SDN.EVN.regular.comment.csv",337

"SDN201907280",11,"Mound Visit"2019SDN.EVN.regular.comment.csv",338

"SDN201907280",14,"Mound Visit"2019SDN.EVN.regular.comment.csv",339

"SDN201907280",16,"Mound Visit"2019SDN.EVN.regular.comment.csv",340

"SDN201907280",35,"Mound Visit"2019SDN.EVN.regular.comment.csv",341

"SDN201907280",70,"$Giants challenged call that Tatis had not interferred at 2nd; call was overturned - interference to complete DP; not GDP since interference"2019SDN.EVN.regular.comment.csv",342

"SDN201907290",42,"Mound Visit"2019SDN.EVN.regular.comment.csv",343

"SDN201907290",46,"Mound Visit"2019SDN.EVN.regular.comment.csv",344

"SDN201907290",52,"Injury Delay"2019SDN.EVN.regular.comment.csv",345

"SDN201907290",54,"Mound Visit"2019SDN.EVN.regular.comment.csv",346

"SDN201907290",57,"Injury Delay"2019SDN.EVN.regular.comment.csv",347

"SDN201907290",77,"Mound Visit"2019SDN.EVN.regular.comment.csv",348

"SDN201907300",2,"Mound Visit"2019SDN.EVN.regular.comment.csv",349

"SDN201907300",15,"$Orioles challenged call that Urias was safe at 2nd; call was upheld - single and out stretching"2019SDN.EVN.regular.comment.csv",350

"SDN201907300",31,"Mound Visit"2019SDN.EVN.regular.comment.csv",351

"SDN201907300",42,"On-field Delay"2019SDN.EVN.regular.comment.csv",352

"SDN201907300",43,"On-field Delay"2019SDN.EVN.regular.comment.csv",353

"SDN201907300",47,"$Orioles challenged call that Mejia was safe at 1st; call was upheld - single"2019SDN.EVN.regular.comment.csv",354

"SDN201907300",58,"Mound Visit"2019SDN.EVN.regular.comment.csv",355

"SDN201907300",63,"Mound Visit"2019SDN.EVN.regular.comment.csv",356

"SDN201907300",67,"Mound Visit"2019SDN.EVN.regular.comment.csv",357

"SDN201907300",69,"$Padres challenged call that Martin was safe at 2nd; call was upheld - stolen base"2019SDN.EVN.regular.comment.csv",358

"SDN201907300",70,"Mound Visit"2019SDN.EVN.regular.comment.csv",359

"SDN201907300",80,"On-field Delay"2019SDN.EVN.regular.comment.csv",360

"SDN201908080",12,"Mound Visit"2019SDN.EVN.regular.comment.csv",361

"SDN201908080",22,"On-field Delay"2019SDN.EVN.regular.comment.csv",362

"SDN201908080",26,"$Rockies challenged call that Arenado was out at 1st; call upheld - ground out"2019SDN.EVN.regular.comment.csv",363

"SDN201908080",33,"Mound Visit"2019SDN.EVN.regular.comment.csv",364

"SDN201908080",41,"Mound Visit"2019SDN.EVN.regular.comment.csv",365

"SDN201908080",58,"Mound Visit"2019SDN.EVN.regular.comment.csv",366

"SDN201908080",60,"Mound Visit"2019SDN.EVN.regular.comment.csv",367

"SDN201908080",64,"Mound Visit"2019SDN.EVN.regular.comment.csv",368

"SDN201908080",66,"Mound Visit"2019SDN.EVN.regular.comment.csv",369

"SDN201908080",68,"Injury Delay"2019SDN.EVN.regular.comment.csv",370

"SDN201908090",0,"Injury Delay"2019SDN.EVN.regular.comment.csv",371

"SDN201908090",34,"Mound Visit"2019SDN.EVN.regular.comment.csv",372

"SDN201908090",45,"Mound Visit Injury Delay"2019SDN.EVN.regular.comment.csv",373

"SDN201908090",58,"Injury Delay"2019SDN.EVN.regular.comment.csv",374

"SDN201908090",66,"Mound Visit"2019SDN.EVN.regular.comment.csv",375

"SDN201908090",71,"Mound Visit"2019SDN.EVN.regular.comment.csv",376

"SDN201908090",72,"Mound Visit"2019SDN.EVN.regular.comment.csv",377

"SDN201908100",41,"Mound Visit"2019SDN.EVN.regular.comment.csv",378

"SDN201908100",42,"Mound Visit"2019SDN.EVN.regular.comment.csv",379

"SDN201908100",48,"Mound Visit"2019SDN.EVN.regular.comment.csv",380

"SDN201908100",66,"Mound Visit"2019SDN.EVN.regular.comment.csv",381

"SDN201908100",68,"Mound Visit"2019SDN.EVN.regular.comment.csv",382

"SDN201908110",14,"Mound Visit"2019SDN.EVN.regular.comment.csv",383

"SDN201908110",29,"Injury Delay"2019SDN.EVN.regular.comment.csv",384

"SDN201908110",43,"Mound Visit"2019SDN.EVN.regular.comment.csv",385

"SDN201908110",47,"Mound Visit"2019SDN.EVN.regular.comment.csv",386

"SDN201908110",49,"Mound Visit"2019SDN.EVN.regular.comment.csv",387

"SDN201908110",68,"Mound Visit"2019SDN.EVN.regular.comment.csv",388

"SDN201908110",82,"Mound Visit"2019SDN.EVN.regular.comment.csv",389

"SDN201908120",5,"Mound Visit"2019SDN.EVN.regular.comment.csv",390

"SDN201908120",11,"Mound Visit"2019SDN.EVN.regular.comment.csv",391

"SDN201908120",21,"Mound Visit"2019SDN.EVN.regular.comment.csv",392

"SDN201908120",26,"Mound Visit"2019SDN.EVN.regular.comment.csv",393

"SDN201908120",37,"$Originally scored as error, changed to single on 08-23-2019"2019SDN.EVN.regular.comment.csv",394

"SDN201908120",55,"Mound Visit"2019SDN.EVN.regular.comment.csv",395

"SDN201908120",62,"Mound Visit"2019SDN.EVN.regular.comment.csv",396

"SDN201908120",70,"Mound Visit"2019SDN.EVN.regular.comment.csv",397

"SDN201908120",82,"$Padres challenged call that Adames was hit by pitch; call upheld - hit by pitch"2019SDN.EVN.regular.comment.csv",398

"SDN201908130",9,"Mound Visit"2019SDN.EVN.regular.comment.csv",399

"SDN201908130",16,"Mound Visit"2019SDN.EVN.regular.comment.csv",400

"SDN201908130",17,"Mound Visit"2019SDN.EVN.regular.comment.csv",401

"SDN201908130",23,"Mound Visit"2019SDN.EVN.regular.comment.csv",402

"SDN201908130",37,"Injury Delay $Rays challenged call that Tatis was safe at 1st; call upheld - single"2019SDN.EVN.regular.comment.csv",403

"SDN201908130",53,"Mound Visit"2019SDN.EVN.regular.comment.csv",404

"SDN201908130",57,"Injury Delay"2019SDN.EVN.regular.comment.csv",405

"SDN201908130",58,"$Tatis suffered lower back spasm after fouling off 2nd pitch; he completed at bat, but left game"2019SDN.EVN.regular.comment.csv",406

"SDN201908130",61,"$Garcia left with injured side"2019SDN.EVN.regular.comment.csv",407

"SDN201908130",65,"Mound Visit"2019SDN.EVN.regular.comment.csv",408

"SDN201908130",74,"Mound Visit"2019SDN.EVN.regular.comment.csv",409

"SDN201908130",78,"Mound Visit"2019SDN.EVN.regular.comment.csv",410

"SDN201908130",82,"Mound Visit"2019SDN.EVN.regular.comment.csv",411

"SDN201908130",83,"Mound Visit"2019SDN.EVN.regular.comment.csv",412

"SDN201908140",17,"Mound Visit"2019SDN.EVN.regular.comment.csv",413

"SDN201908140",28,"Mound Visit"2019SDN.EVN.regular.comment.csv",414

"SDN201908140",36,"Mound Visit"2019SDN.EVN.regular.comment.csv",415

"SDN201908140",47,"Mound Visit"2019SDN.EVN.regular.comment.csv",416

"SDN201908140",56,"Mound Visit"2019SDN.EVN.regular.comment.csv",417

"SDN201908140",61,"Mound Visit"2019SDN.EVN.regular.comment.csv",418

"SDN201908140",67,"Mound Visit"2019SDN.EVN.regular.comment.csv",419

"SDN201908230",12,"Mound Visit"2019SDN.EVN.regular.comment.csv",420

"SDN201908230",14,"Mound Visit"2019SDN.EVN.regular.comment.csv",421

"SDN201908230",16,"$Padres challenged call that Martinez was safe at 1st; call overturned - ground out"2019SDN.EVN.regular.comment.csv",422

"SDN201908230",59,"Mound Visit"2019SDN.EVN.regular.comment.csv",423

"SDN201908240",16,"Mound Visit"2019SDN.EVN.regular.comment.csv",424

"SDN201908240",24,"Mound Visit"2019SDN.EVN.regular.comment.csv",425

"SDN201908240",33,"Mound Visit"2019SDN.EVN.regular.comment.csv",426

"SDN201908240",34,"Mound Visit"2019SDN.EVN.regular.comment.csv",427

"SDN201908240",42,"Mound Visit"2019SDN.EVN.regular.comment.csv",428

"SDN201908240",48,"Mound Visit"2019SDN.EVN.regular.comment.csv",429

"SDN201908240",49,"Mound Visit"2019SDN.EVN.regular.comment.csv",430

"SDN201908240",59,"Mound Visit"2019SDN.EVN.regular.comment.csv",431

"SDN201908240",60,"Mound Visit Injury Delay"2019SDN.EVN.regular.comment.csv",432

"SDN201908240",63,"Mound Visit"2019SDN.EVN.regular.comment.csv",433

"SDN201908240",77,"Mound Visit"2019SDN.EVN.regular.comment.csv",434

"SDN201908240",82,"Mound Visit"2019SDN.EVN.regular.comment.csv",435

"SDN201908250",8,"Mound Visit"2019SDN.EVN.regular.comment.csv",436

"SDN201908250",20,"Mound Visit"2019SDN.EVN.regular.comment.csv",437

"SDN201908250",38,"Mound Visit"2019SDN.EVN.regular.comment.csv",438

"SDN201908250",55,"Mound Visit"2019SDN.EVN.regular.comment.csv",439

"SDN201908250",58,"Mound Visit"2019SDN.EVN.regular.comment.csv",440

"SDN201908260",11,"Mound Visit"2019SDN.EVN.regular.comment.csv",441

"SDN201908260",27,"Mound Visit"2019SDN.EVN.regular.comment.csv",442

"SDN201908260",31,"Mound Visit"2019SDN.EVN.regular.comment.csv",443

"SDN201908260",35,"Mound Visit"2019SDN.EVN.regular.comment.csv",444

"SDN201908270",15,"Injury Delay"2019SDN.EVN.regular.comment.csv",445

"SDN201908270",40,"Mound Visit"2019SDN.EVN.regular.comment.csv",446

"SDN201908270",41,"Mound Visit"2019SDN.EVN.regular.comment.csv",447

"SDN201908270",43,"Mound Visit"2019SDN.EVN.regular.comment.csv",448

"SDN201908270",45,"$Dodgers challenged call that double hit by Hernandez was not interferred with; runner from 1st was out when he rounded 3rd and did not get back in time; call overturned to fan interference as right fielder was getting to ball, so runner safe at 3rd since ball was dead on the interference"2019SDN.EVN.regular.comment.csv",449

"SDN201908280",5,"Mound Visit"2019SDN.EVN.regular.comment.csv",450

"SDN201908280",14,"Mound Visit"2019SDN.EVN.regular.comment.csv",451

"SDN201908280",37,"Injury Delay"2019SDN.EVN.regular.comment.csv",452

"SDN201908280",37,"$Muncy hit on wrist and left game"2019SDN.EVN.regular.comment.csv",453

"SDN201908280",40,"Mound Visit"2019SDN.EVN.regular.comment.csv",454

"SDN201908280",54,"Mound Visit"2019SDN.EVN.regular.comment.csv",455

"SDN201908280",60,"Mound Visit"2019SDN.EVN.regular.comment.csv",456

"SDN201908280",65,"$Padres challenged call the Pederson's ball was fair; call upheld - fair ball for double"2019SDN.EVN.regular.comment.csv",457

"SDN201908280",74,"Mound Visit"2019SDN.EVN.regular.comment.csv",458

"SDN201908280",75,"Mound Visit Injury Delay"2019SDN.EVN.regular.comment.csv",459

"SDN201908280",84,"Mound Visit"2019SDN.EVN.regular.comment.csv",460

"SDN201908280",87,"Mound Visit"2019SDN.EVN.regular.comment.csv",461

"SDN201909060",7,"Mound Visit"2019SDN.EVN.regular.comment.csv",462

"SDN201909060",22,"Mound Visit"2019SDN.EVN.regular.comment.csv",463

"SDN201909060",50,"Injury Delay"2019SDN.EVN.regular.comment.csv",464

"SDN201909060",66,"$Rockies challenged call that Arenado was out at 2nd; call upheld - tagged for first out on double play"2019SDN.EVN.regular.comment.csv",465

"SDN201909070",31,"$Batter interference"2019SDN.EVN.regular.comment.csv",466

"SDN201909070",39,"Mound Visit"2019SDN.EVN.regular.comment.csv",467

"SDN201909070",40,"Mound Visit"2019SDN.EVN.regular.comment.csv",468

"SDN201909070",44,"Mound Visit"2019SDN.EVN.regular.comment.csv",469

"SDN201909070",45,"Mound Visit"2019SDN.EVN.regular.comment.csv",470

"SDN201909070",47,"Mound Visit"2019SDN.EVN.regular.comment.csv",471

"SDN201909070",55,"Mound Visit"2019SDN.EVN.regular.comment.csv",472

"SDN201909070",68,"Mound Visit"2019SDN.EVN.regular.comment.csv",473

"SDN201909080",32,"Mound Visit"2019SDN.EVN.regular.comment.csv",474

"SDN201909080",33,"Mound Visit"2019SDN.EVN.regular.comment.csv",475

"SDN201909080",44,"Mound Visit"2019SDN.EVN.regular.comment.csv",476

"SDN201909080",52,"Mound Visit"2019SDN.EVN.regular.comment.csv",477

"SDN201909080",72,"On-field Delay"2019SDN.EVN.regular.comment.csv",478

"SDN201909080",77,"Mound Visit"2019SDN.EVN.regular.comment.csv",479

"SDN201909080",78,"Mound Visit"2019SDN.EVN.regular.comment.csv",480

"SDN201909090",10,"Mound Visit"2019SDN.EVN.regular.comment.csv",481

"SDN201909090",19,"Injury Delay"2019SDN.EVN.regular.comment.csv",482

"SDN201909090",42,"Mound Visit"2019SDN.EVN.regular.comment.csv",483

"SDN201909090",50,"Injury Delay"2019SDN.EVN.regular.comment.csv",484

"SDN201909090",51,"Injury Delay"2019SDN.EVN.regular.comment.csv",485

"SDN201909090",61,"Mound Visit"2019SDN.EVN.regular.comment.csv",486

"SDN201909100",18,"Mound Visit"2019SDN.EVN.regular.comment.csv",487

"SDN201909100",33,"Mound Visit"2019SDN.EVN.regular.comment.csv",488

"SDN201909100",34,"Mound Visit"2019SDN.EVN.regular.comment.csv",489

"SDN201909100",36,"Injury Delay $Cubs challenged call that Heyward was out at home; call overturned - score on sacrifice fly"2019SDN.EVN.regular.comment.csv",490

"SDN201909100",41,"Mound Visit"2019SDN.EVN.regular.comment.csv",491

"SDN201909100",55,"Mound Visit"2019SDN.EVN.regular.comment.csv",492

"SDN201909100",56,"Mound Visit"2019SDN.EVN.regular.comment.csv",493

"SDN201909100",61,"Mound Visit"2019SDN.EVN.regular.comment.csv",494

"SDN201909100",63,"Mound Visit"2019SDN.EVN.regular.comment.csv",495

"SDN201909100",90,"Mound Visit"2019SDN.EVN.regular.comment.csv",496

"SDN201909100",90,"$Padres challenged call that Jankowski was not hit by pitch; call upheld - ball"2019SDN.EVN.regular.comment.csv",497

"SDN201909100",91,"On-field Delay"2019SDN.EVN.regular.comment.csv",498

"SDN201909110",26,"Mound Visit"2019SDN.EVN.regular.comment.csv",499

"SDN201909110",44,"Mound Visit"2019SDN.EVN.regular.comment.csv",500

"SDN201909110",48,"Mound Visit"2019SDN.EVN.regular.comment.csv",501

"SDN201909110",57,"Mound Visit"2019SDN.EVN.regular.comment.csv",502

"SDN201909110",64,"On-field Delay"2019SDN.EVN.regular.comment.csv",503

"SDN201909110",65,"Injury Delay"2019SDN.EVN.regular.comment.csv",504

"SDN201909120",37,"Mound Visit"2019SDN.EVN.regular.comment.csv",505

"SDN201909120",47,"Mound Visit"2019SDN.EVN.regular.comment.csv",506

"SDN201909120",51,"Mound Visit"2019SDN.EVN.regular.comment.csv",507

"SDN201909120",63,"$Padres challenged call that Hoerner was safe at 2nd; call upheld - single and advance on throw"2019SDN.EVN.regular.comment.csv",508

"SDN201909120",66,"On-field Delay"2019SDN.EVN.regular.comment.csv",509

"SDN201909120",66,"ej,myerw001,P,dejer901,Balls and strikes $Myers ejected by HP umpire De Jesus for arguing called strike 2; Jankowksi completed strikeout which is charged to Myers"2019SDN.EVN.regular.comment.csv",510

"SDN201909120",69,"Mound Visit"2019SDN.EVN.regular.comment.csv",511

"SDN201909120",71,"Mound Visit"2019SDN.EVN.regular.comment.csv",512

"SDN201909200",9,"$Padres challenged call that Flores was safe at 2nd; call upheld - safe on fielder's choice"2019SDN.EVN.regular.comment.csv",513

"SDN201909200",50,"On-field Delay"2019SDN.EVN.regular.comment.csv",514

"SDN201909200",53,"ej,hinse001,C,ticht901,Called strike 3 $Diamondbacks coach Hinske ejected by HP umpire Tichenor for arguing called strike 3"2019SDN.EVN.regular.comment.csv",515

"SDN201909200",56,"Mound Visit"2019SDN.EVN.regular.comment.csv",516

"SDN201909200",61,"Mound Visit"2019SDN.EVN.regular.comment.csv",517

"SDN201909200",62,"On-field Delay"2019SDN.EVN.regular.comment.csv",518

"SDN201909210",32,"Mound Visit"2019SDN.EVN.regular.comment.csv",519

"SDN201909210",37,"Mound Visit"2019SDN.EVN.regular.comment.csv",520

"SDN201909210",43,"Mound Visit"2019SDN.EVN.regular.comment.csv",521

"SDN201909210",43,"Mound Visit"2019SDN.EVN.regular.comment.csv",522

"SDN201909210",56,"Mound Visit"2019SDN.EVN.regular.comment.csv",523

"SDN201909210",60,"Mound Visit"2019SDN.EVN.regular.comment.csv",524

"SDN201909210",63,"Mound Visit"2019SDN.EVN.regular.comment.csv",525

"SDN201909210",64,"Mound Visit"2019SDN.EVN.regular.comment.csv",526

"SDN201909210",69,"Mound Visit"2019SDN.EVN.regular.comment.csv",527

"SDN201909220",14,"Mound Visit"2019SDN.EVN.regular.comment.csv",528

"SDN201909220",24,"Mound Visit"2019SDN.EVN.regular.comment.csv",529

"SDN201909220",50,"Mound Visit"2019SDN.EVN.regular.comment.csv",530

"SDN201909220",51,"Mound Visit"2019SDN.EVN.regular.comment.csv",531

"SDN201909220",63,"Injury Delay"2019SDN.EVN.regular.comment.csv",532

"SDN201909220",72,"Mound Visit"2019SDN.EVN.regular.comment.csv",533

"SDN201909240",5,"Mound Visit"2019SDN.EVN.regular.comment.csv",534

"SDN201909240",29,"Mound Visit"2019SDN.EVN.regular.comment.csv",535

"SDN201909240",44,"Mound Visit"2019SDN.EVN.regular.comment.csv",536

"SDN201909240",46,"Mound Visit"2019SDN.EVN.regular.comment.csv",537

"SDN201909240",59,"Mound Visit"2019SDN.EVN.regular.comment.csv",538

"SDN201909250",15,"Mound Visit"2019SDN.EVN.regular.comment.csv",539

"SDN201909250",17,"Mound Visit"2019SDN.EVN.regular.comment.csv",540

"SDN201909250",26,"$Seager left with hamstring tightness"2019SDN.EVN.regular.comment.csv",541

"SDN201909250",37,"Mound Visit"2019SDN.EVN.regular.comment.csv",542

"SDN201909250",51,"Mound Visit"2019SDN.EVN.regular.comment.csv",543

"SDN201909250",54,"Mound Visit"2019SDN.EVN.regular.comment.csv",544

"SDN201909250",55,"Mound Visit"2019SDN.EVN.regular.comment.csv",545

"SDN201909250",60,"$Dodgers challenged call that Beaty was out at 1st; call upheld - out to complete double play"2019SDN.EVN.regular.comment.csv",546

"SDN201909250",68,"Mound Visit"2019SDN.EVN.regular.comment.csv",547

"SDN201909260",31,"$Padres challenged call that Negron was safe at 1st; call upheld - force out, not double play"2019SDN.EVN.regular.comment.csv",548

"SDN201909260",44,"Mound Visit"2019SDN.EVN.regular.comment.csv",549

"SDN201909260",48,"Mound Visit"2019SDN.EVN.regular.comment.csv",550

"SDN201909260",61,"$Padres challenged call that Hernandez was safe at 1st; call overturned - out to complete double play"2019SDN.EVN.regular.comment.csv",551

"SDN201909260",63,"Mound Visit"2019SDN.EVN.regular.comment.csv",552

"SDN201909260",65,"Mound Visit Mound Visit"2019SDN.EVN.regular.comment.csv",553

