"MIL201804030",63,"$Brewers challenge call that Molina was safe at 2nd; call was upheld - stolen base","FILENAME_TX","LINE_NUMBER_CT"
"MIL201809180",27,"$Travis Shaw left with an injured knee","2018MIL.EVN.regular.comment.csv",302
"MIL201809180",31,"Mound Visit","2018MIL.EVN.regular.comment.csv",303
"MIL201809180",43,"Mound Visit","2018MIL.EVN.regular.comment.csv",304
"MIL201809180",56,"Mound Visit","2018MIL.EVN.regular.comment.csv",305
"MIL201809180",58,"Mound Visit","2018MIL.EVN.regular.comment.csv",306
"MIL201809180",59,"$Brewers challenged call that Ervin's fly had been caught; call was upheld - fly out","2018MIL.EVN.regular.comment.csv",307
"MIL201809190",6,"Mound Visit","2018MIL.EVN.regular.comment.csv",308
"MIL201809190",25,"Mound Visit","2018MIL.EVN.regular.comment.csv",309
"MIL201809190",47,"Mound Visit","2018MIL.EVN.regular.comment.csv",310
"MIL201809190",49,"Mound Visit","2018MIL.EVN.regular.comment.csv",311
"MIL201809280",5,"Mound Visit","2018MIL.EVN.regular.comment.csv",312
"MIL201809280",37,"Mound Visit","2018MIL.EVN.regular.comment.csv",313
"MIL201809280",38,"Mound Visit","2018MIL.EVN.regular.comment.csv",314
"MIL201809280",59,"$Brewers challenged call that Candelario was hit by pitch; call was upheld - hit by pitch","2018MIL.EVN.regular.comment.csv",315
"MIL201809280",61,"Mound Visit","2018MIL.EVN.regular.comment.csv",316
"MIL201809280",62,"Mound Visit","2018MIL.EVN.regular.comment.csv",317
"MIL201809290",19,"Injury Delay","2018MIL.EVN.regular.comment.csv",318
"MIL201809290",35,"Mound Visit","2018MIL.EVN.regular.comment.csv",319
"MIL201809290",36,"Mound Visit","2018MIL.EVN.regular.comment.csv",320
"MIL201809290",44,"Mound Visit","2018MIL.EVN.regular.comment.csv",321
"MIL201809290",48,"Mound Visit","2018MIL.EVN.regular.comment.csv",322
"MIL201809290",52,"Mound Visit","2018MIL.EVN.regular.comment.csv",323
"MIL201809290",54,"Mound Visit","2018MIL.EVN.regular.comment.csv",324
"MIL201809290",59,"Mound Visit","2018MIL.EVN.regular.comment.csv",325
"MIL201809290",60,"Mound Visit","2018MIL.EVN.regular.comment.csv",326
"MIL201809290",65,"Mound Visit","2018MIL.EVN.regular.comment.csv",327
"MIL201809290",67,"Mound Visit","2018MIL.EVN.regular.comment.csv",328
"MIL201809300",8,"Mound Visit","2018MIL.EVN.regular.comment.csv",329
"MIL201809300",46,"Mound Visit","2018MIL.EVN.regular.comment.csv",330
"MIL201809300",47,"Mound Visit","2018MIL.EVN.regular.comment.csv",331
"MIL201809300",50,"Mound Visit","2018MIL.EVN.regular.comment.csv",332
"MIL201809300",55,"Mound Visit","2018MIL.EVN.regular.comment.csv",333
"MIL201809300",59,"Mound Visit Mound Visit","2018MIL.EVN.regular.comment.csv",334
"MIL201809300",65,"Mound Visit","2018MIL.EVN.regular.comment.csv",335
